my_id,mutagen,smiles
9752,0,CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC12C)C(=O)C
127481,0,Nc1nc(N)nc(N)n1
101174,1,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(c1)[N+](=O)[O-]
14942,0,CC(C)CC(=O)Nc1snc2ccccc12
106708,1,Cc1cccc(c1C)[N+](=O)[O-]
29442,0,CCCCCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4C3CCC12C)C#C
34746,0,CCC[N+](=O)[O-]
152948,1,OC(=O)c1cc(cc2cccnc12)[N+](=O)[O-]
153569,1,OC1C=Cc2c(ccc3c(Br)c4ccccc4cc23)C1O
124390,1,NC(=O)Nc1nc2ccccc2[nH]1
89714,0,C[C@@H](O)CCC(=O)c1cocc1
126951,1,Nc1ccc2c(oc3ccccc23)c1
104748,1,Cc1ccc2ccc3ccc(C)cc3c2c1
97077,1,Cc1cc2c(nc(N)n2C)c3ncc(nc13)c4ccccc4
37806,1,CCN(N=O)\C(=N\O)\C=O
125891,1,NNc1nnc(NN)c2ccccc12
4285,1,C=CC(=O)NCNC(=O)C=C
154463,0,OCc1cc2c3ccccc3c4cccc(c1)c24
107923,0,Cc1ccccc1c2ccccc2
23485,0,CC1C2C3C(C)C4C(=O)C56C(=O)c7c(O)cc(C)cc7C(=O)C35C1C(=O)C68C(=O)c9c(O)cc(C)cc9C(=O)C248
109458,0,Cc1nc(N)nc(N)n1
39020,0,CCNc1nc(N)nc(Cl)n1
3002,1,C1CCC(CC1)N2C3C2c4ccccc4c5ccccc35
28779,1,CCCCB(CCCC)CCCC
8109,1,CC(=O)NC(CSC(=C(Cl)Cl)Cl)C(=O)O
17326,1,CC(C)[C@@H]1CC[C@H](C)[C@@H]2CC[C@H](C)C[C@@H]12
38940,1,CCNN=NCC
155382,1,Oc1cccc(c1)[N+](=O)[O-]
158343,1,[O-][N+](=O)c1ccc2c(c1)c3cccc4cccc2c34
154526,0,OCc1occc1
1491,1,C(Cc1ccc(cc1)c2ccccc2)[C@H]3CO3
155062,1,Oc1cc2c3ccccc3ccc2c4ccccc14
155350,1,Oc1ccc2ccccc2c1N=Nc3ccccc3
126154,0,N[C@@H]1CC[C@@H](C[C@@H]2CC[C@@H](N)CC2)CC1
61471,1,COC(=O)C12CC1(C=O)C(=CC3CC(C)(C)CC23)C=O
39769,1,CCOC(=O)C(C)Br
65931,0,COC1(CCCC1)OC2CCC3C4CCC5CC6SC6CC5(C)C4CCC23C
37658,1,CCN(CCCl)CCCNc1c2CCCCc2nc3ccccc13
90767,1,C\C(=C/C(=C/C1=CCOC1=O)/C)\C=C\C=C(/C)\C(=O)C23OC2C(O)(CCO)NC3=O
47818,0,CCO[P@](=S)(CC)Sc1ccccc1
126852,1,Nc1ccc(c(N)c1)[N+](=O)[O-]
51177,0,CCSCCSP(=O)(OC)OC
107185,0,Cc1ccccc1C(=O)O
6497,1,CC(=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C)C
791,0,Brc1ccccc1
95442,0,Cc1cc(N)c(cc1Cl)S(=O)(=O)O
155315,0,Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1
56121,1,CN(C)CCNC(=O)c1cccc2C(=O)c3ccccc3C(=O)c12
128043,1,Nc1snc2c(Cl)cc(Cl)cc12
116405,0,ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(CC2(Cl)Cl)C(Cl)Cl
96355,0,Cc1cc(O)c2C(=O)c3c(O)cc(O)c(c3C(=O)c2c1)c4c(O)cc(O)c5C(=O)c6c(O)cc(C)cc6C(=O)c45
67960,0,COCCl
148291,1,O=NN1CCOCC1
126781,1,Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1
126761,0,Nc1ccc(Nc2ccccc2)cc1
30841,0,CCCCCOC(=O)C(=C)C
152990,0,OC(=O)c1ccccc1
127816,1,Nc1ncnc2c1ncn2Cc3ccc(cc3)[N+](=O)[O-]
3386,1,C1c2cccc3ccc4cccc1c4c23
121007,0,Fc1ccccc1c2ccccc2
117128,0,Clc1ccc(cc1Cl)c2ccc(Cl)c(Cl)c2Cl
6525,1,CC(=CCc1ccc(O)c2C(=O)c3c(O)c4c(OC5OC=CC45O)cc3Oc12)C
24835,0,CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C
106450,0,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C
126984,1,Nc1ccc2ccccc2c1N=Nc3ccc(cc3)[N+](=O)[O-]
85088,1,COc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO
155151,0,Oc1ccc(Cc2ccccc2O)cc1
65810,0,COC(C)CCO
7557,1,CC(=O)N(O)c1ccc(Oc2ccccc2)cc1
13886,0,CC(C)(c1ccc(OP(O)O)cc1)c2ccc(OP(O)O)cc2
29520,1,CCCCCCCC(=O)Cl
12140,0,CC(C)(C)C(Br)C(=O)Nc1ccccc1
36818,1,CCN(CC)CCNc1ccc2nc(C)n3c4ccc(O)cc4C(=O)c1c23
38801,1,CCNC(=O)Nc1ncc(s1)[N+](=O)[O-]
80446,1,COc1ccc(O)c2C(=O)c3c(OC)cc4O[C@@H]5OC=C[C@H]5c4c3Oc12
158192,1,[O-][N+](=O)c1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl
60833,0,COC(=O)C(=C)C
155309,1,Oc1ccc2c3ccc(O)c4C(=O)C=C[C@@](O)([C@@H]5[C@H]6O[C@H]6C(=O)c1c25)c34
63036,0,COC(=O)N
94597,0,Cc1cc(C)n(n1)c2[nH]nc(NN)c3c4ccccc4nc23
121021,1,Fc1cnc2ccc3cccnc3c2c1
156027,1,SC(NC(=O)NC(S)c1nc2ccccc2s1)c3nc4ccccc4s3
92387,1,Cc1c2ccccc2c(CBr)c3ccccc13
127091,1,Nc1cccc2cc3CCCCc3nc12
62206,0,COC(=O)C=C
8579,1,CC(=O)Nc1c(O)cc2c3ccccc3c4cccc1c24
153676,1,OC1Cc2cc3ccc4cccc5ccc(c2C=C1)c3c45
155299,1,Oc1ccc2c(c1)c3ccc(c4cccc2c34)[N+](=O)[O-]
153588,0,OC1C=Cc2cc3ccccc3c(c2C1O)[N+](=O)[O-]
101171,0,Cc1ccc(N=Nc2c(O)c(cc3ccccc23)C(=O)O)c(c1)S(=O)(=O)O
59602,0,CN=C1C=CC(=C(c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C)C=C1
31339,1,CCCCN(COC(=O)C)N=O
3046,1,C1CCC2=C(C1)c3cc4ccccc4c5cc6ccccc6c2c35
125903,1,NP(=O)(OCCC(=O)O)N(CCCl)CCCl
126362,0,Nc1c(O)cc(Cc2cc(Cl)c(N)c(OS(=O)(=O)O)c2)cc1Cl
3277,0,C1CSCCO1
107379,1,Cc1ccccc1N
147873,0,O=C1c2ccccc2c3ccccc13
3064,0,C1CCCC2OC2CC1
3310,1,C1Cc2c(C=C1)ccc3nc4ccc5ccccc5c4cc23
88123,0,CS(=O)(=O)Nc1ccc(Nc2c3ccc(cc3nc4ccc(cc24)N=N#N)N=N#N)cc1
56047,0,CN(C)CCN(Cc1ccccc1)c2ccccn2
90801,1,C\C=C(/Cl)\C1=CC(=O)C23CC2C(C)(C)OC3(O)C1=O
57722,0,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O
39004,0,CCNc1ccccc1
127171,1,Nc1ccccc1SCCSc2ccccc2N
154614,1,ONC(=O)c1ccccc1O
126365,0,Nc1c(O)cccc1[N+](=O)[O-]
13400,0,CC(C)(C)c1ccc(\C=C\c2ccc(N)cc2)cc1
152827,1,OC(=O)C[C@H]([C@H](CC(=O)O)C(=O)O)C(=O)O
3324,0,C1Cc2cccc3cccc1c23
55979,1,CN(C)CCCNc1c2ccccc2nc3c(ccc(c13)[N+](=O)[O-])N(CCO)CCO
32273,1,CCCCOc1ccc(cc1)N=O
96748,1,Cc1cc(c(N)cc1Cl)S(=O)(=O)O
61885,1,COC(=O)C1=CCCN(C)C1
59904,1,CNC(=O)ON
152626,0,OC(=O)C=C
152636,0,OC(=O)CC(=O)O
29206,0,CCCCC=O
148350,1,O=Nc1ccccc1c2ccccc2
57291,0,CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)c5nccc(O)n5
88436,0,CSC(C)(C)C(=O)NC(CS)C(=O)O
90745,0,C[n+]1ccc(cc1)c2cc[n+](C)cc2
153095,1,OC(CN=N#N)C(O)C(O)C(O)C=O
30836,0,CCCCCNc1snc2ccccc12
29746,0,CCCCCCCCCCCC(=O)OOC(=O)CCCCCCCCCCC
104027,0,Cc1ccc(cc1S(=O)(=O)O)[N+](=O)[O-]
154691,0,OS(=O)(=O)c1cccc(c1)[N+](=O)[O-]
80444,0,COc1ccc(O)c(c1)C(C)(C)C
158288,1,[O-][N+](=O)c1ccc2C(=O)N(CCl)C(=O)c2c1
23599,0,CC1CC(C)(C)c2cc(C(=O)C)c(C)cc2C1(C)C
154465,1,OCc1cc2ccc3cccc4ccc(c1)c2c34
32119,1,CCCCON(OC(=O)C)C(=O)c1ccc(cc1)c2ccccc2
90349,0,C[C@]12CC[C@H]3[C@@H](CCC4=C3CCC(=O)C4)[C@H]1CC[C@@]2(O)C#C
122974,0,N#Cc1ccccc1C#N
8663,0,CC(=O)Nc1cc(ccc1C)N=[N+]([O-])c2ccc(C)c(NC(=O)C)c2
16846,0,CC(C)OC(=O)C1=C(C)N=C(N)C(=C(O)OC2CN(C2)C(c3ccccc3)c4ccccc4)C1c5cccc(c5)[N+](=O)[O-]
3212,0,C1CN=C(N1)c2ccc(cc2)c3cc4ccc(cc4[nH]3)C5=NCCN5
23743,1,CC1CC2C(Cc3c[nH]c4cccc2c34)N(C)C1
30610,0,CCCCCCOC(=O)C=C
56376,0,CN(C)N=Nc1ccc(cc1)C(=O)O
116142,1,ClC(Cl)(Cl)c1ccccc1
30021,0,CCCCCCCCCCCCCCCCCCNC(=O)CCCCCCCCCCC\C=C\CCCCCCCC
20887,0,CC1(C)OC1COc2c3OC(=O)C=Cc3cc4ccoc24
26952,0,CCC(CC)[N+](=O)[O-]
28389,1,CCCC(=O)\N=C\1/SN(C(=O)CCC)c2ccc(cc12)[N+](=O)[O-]
103906,0,Cc1ccc(cc1)C#N
158395,0,[O-][N+](=O)c1ccc2ccc3ccc(c4c5ccccc5c1c2c34)[N+](=O)[O-]
87533,1,COc1nsc2cc(OCC3CO3)ccc12
152927,0,OC(=O)c1c(Cl)c(Cl)c(Cl)c2Oc3c(Br)c(O)c(Br)cc3C(=O)c12
31357,1,CCCCN(N=O)C(=N)N[N+](=O)[O-]
34172,1,CCCON=O
56428,0,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1
153540,1,OC1C2OC2C3=C(C=CC4C3c5cccc6cccc4c56)C1O
116598,0,Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl
3320,1,C1Cc2ccc3ccc4ccccc4c3c2C1
125563,0,NCCC#N
117330,0,Clc1cccc2oc3ccccc3c12
89780,1,C[C@@H]1C=Cc2c1ccc3c2ccc4ccccc34
28781,0,CCCCC
106496,0,Cc1cccc(O)c1
28379,0,CCCC(=O)OCc1ccccc1[N+](=O)[O-]
551,1,BrCc1ccccc1
124976,1,NC(CCN=N#N)C(=O)O
83383,1,COc1ccc2oc(cc2c1N(CCCl)CCCl)[N+](=O)[O-]
15502,0,CC(C)CCOC(=O)\C=C/c1ccccc1
120370,0,FC(F)(F)c1ccccc1Cl
103964,1,Cc1ccc(cc1)S(=O)(=O)NN
120434,0,FC(F)C(F)(F)F
107890,0,Cc1ccccc1S(=O)(=O)N
108710,0,Cc1cnc(S)nc1O
158221,1,[O-][N+](=O)c1ccc(Cl)c(c1)[N+](=O)[O-]
159351,1,c1cc2ccc3cncc4ccc(c1)c2c34
116081,1,ClC(=C1C(=O)NC(=O)C1(Cl)Cl)Cl
160753,1,c1ccc2cc3c(ccc4cccnc34)cc2c1
16354,1,CC(C)N(C(C)C)C(=O)SCC(=C(Cl)Cl)Cl
100921,1,Cc1ccc(N)c(C)c1
57572,1,CN(C[C@H](O)CO)N=O
12691,0,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(c1)C(F)(F)F
116200,1,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl
27014,1,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C
21579,0,CC12CCCC(C)(C1CCC34CC(O)(CCC23)C5(CO5)C4)C(=O)O
154829,1,O[C@H]1C=Cc2c(ccc3c4cccc5cccc(c23)c45)[C@@H]1O
23480,1,CC1C2C(=Nc3ccccc23)N(C)c4ccc(C)cc14
152918,0,OC(=O)\C=C\c1ccc(Cl)cc1
52739,0,CCc1ccc(cc1)[N+](=O)[O-]
124078,0,NC(=O)CCCCC(=O)N
158455,1,[O-][N+](=O)c1cccc2c1ccc3cccc(c23)[N+](=O)[O-]
32030,0,CCCCOC(=O)c1ccccc1C(=O)OCCCC
152622,0,OC(=O)C1Cc2c(CN1)[nH]c3ccccc23
15071,0,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CN)C(=O)O
125041,1,NC(CS\C(=C(/Cl)\C(Cl)(Cl)Cl)\Cl)C(=O)O
158264,1,[O-][N+](=O)c1ccc(cc1)C(=O)ON(OCc2ccccc2)C(=O)c3ccccc3
84500,1,COc1cccc(N)c1
33848,1,CCCNC(=O)\C=C\c1oc(cc1)[N+](=O)[O-]
148432,1,O=P1(Oc2ccccc2)OCc3ccccc3O1
96802,0,Cc1cc(ccc1N=Nc2c(O)c3c(O)cc(cc3cc2S(=O)(=O)O)S(=O)(=O)O)c4ccc(N=Nc5c(O)c6c(O)cc(cc6cc5S(=O)(=O)O)S(=O)(=O)O)c(C)c4
57050,1,CN(C)c1ccc(cc1)N=O
56373,1,CN(C)N=Nc1ccc(Br)cc1
6388,0,CC(=C)C(=O)OC(C)(C)C
52999,0,CCc1ccccc1
127533,0,Nc1nc(O)c2nc(O)n(C3OC(CO)C(O)C3O)c2n1
